observablecode,countrycode,indicatorcode,observationcode,timecode
1,1,1,1,1
2,1,2,2,1
3,1,3,3,1
4,2,3,4,2
5,2,1,5,2
6,2,2,6,2
7,3,2,7,3
8,3,1,8,3
9,3,3,9,3
10,4,3,10,4
11,4,1,11,4
12,4,2,12,4
13,5,1,13,3
14,5,3,14,3
15,5,2,15,3
16,6,2,16,5
17,6,1,17,5
18,6,3,18,5
19,7,2,19,6
20,7,3,20,6
21,7,1,21,6
22,8,1,22,6
23,8,3,23,6
24,8,2,24,6
25,9,2,25,7
26,9,1,26,7
27,9,3,27,7
28,10,2,28,8
29,10,1,29,8
30,10,3,30,8
31,11,3,31,9
32,11,2,32,9
33,11,1,33,9
34,12,2,34,4
35,12,3,35,4
36,12,1,36,4
37,13,2,37,10
38,13,1,38,10
39,13,3,39,10
40,14,1,40,9
41,14,3,41,9
42,14,2,42,9
43,15,3,43,11
44,15,2,44,11
45,15,1,45,11
46,16,3,46,12
47,16,1,47,12
48,16,2,48,12
49,17,1,49,12
50,17,3,50,12
51,17,2,51,12
52,18,1,52,9
53,18,2,53,9
54,18,3,54,9
55,19,2,55,13
56,19,3,56,13
57,19,1,57,13
58,20,2,58,14
59,20,3,59,14
60,20,1,60,14
61,21,1,61,1
62,21,2,61,1
63,21,3,61,1
64,22,2,62,6
65,22,3,63,6
66,22,1,64,6
67,23,3,65,13
68,23,1,66,13
69,23,2,67,13
70,24,3,68,7
71,24,2,69,7
72,24,1,70,7
73,25,1,71,12
74,25,3,72,12
75,25,2,73,12
76,26,1,74,15
77,26,3,75,15
78,26,2,76,15
79,27,2,77,14
80,27,3,78,14
81,27,1,79,14
82,28,3,80,16
83,28,1,81,16
84,28,2,82,16
85,29,1,83,12
86,29,2,84,12
87,29,3,85,12
88,30,3,86,5
89,30,2,87,5
90,30,1,88,5
91,31,1,89,12
92,31,2,90,12
93,31,3,91,12
94,32,1,92,12
95,32,3,93,12
96,32,2,94,12
97,33,1,95,12
98,33,2,96,12
99,33,3,97,12
100,34,3,98,15
101,34,2,99,15
102,34,1,100,15
103,35,2,101,6
104,35,3,102,6
105,35,1,103,6
106,36,2,104,10
107,36,1,105,10
108,36,3,105,10
109,37,3,106,10
110,37,1,107,10
111,37,2,108,10
112,38,3,109,12
113,38,1,109,12
114,38,2,110,12
115,39,1,111,13
116,39,3,112,13
117,39,2,113,13
118,40,2,114,15
119,40,1,115,15
120,40,3,116,15
121,41,3,117,12
122,41,1,118,12
123,41,2,119,12
124,42,2,120,12
125,42,1,121,12
126,42,3,122,12
127,43,3,123,11
128,43,2,124,11
129,43,1,125,11
130,44,3,126,12
131,44,2,127,12
132,44,1,128,12
133,45,1,129,3
134,45,3,130,3
135,45,2,131,3
136,46,3,132,10
137,46,2,133,10
138,46,1,134,10
139,47,3,135,10
140,47,1,136,10
141,47,2,137,10
142,48,1,138,7
143,48,3,139,7
144,48,2,140,7
145,49,3,141,8
146,49,2,142,8
147,49,1,143,8
148,50,1,144,1
149,50,2,145,1
150,50,3,146,1
151,51,1,147,12
152,51,3,148,12
153,51,2,149,12
154,52,2,106,10
155,52,1,150,10
156,52,3,151,10
157,53,3,152,14
158,53,1,153,14
159,53,2,154,14
160,54,3,108,10
161,54,1,155,10
162,54,2,156,10
163,55,1,157,17
164,55,3,158,17
165,55,2,159,17
166,56,2,160,10
167,56,3,161,10
168,56,1,162,10
169,57,3,163,3
170,57,2,164,3
171,57,1,165,3
172,58,1,166,11
173,58,3,167,11
174,58,2,168,11
175,59,3,169,1
176,59,2,170,1
177,59,1,171,1
178,60,2,172,1
179,60,3,173,1
180,60,1,174,1
181,61,1,175,10
182,61,3,176,10
183,61,2,177,10
184,62,3,178,10
185,62,1,179,10
186,62,2,180,10
187,63,1,181,17
188,63,3,182,17
189,63,2,183,17
190,64,1,184,7
191,64,3,185,7
192,64,2,186,7
193,65,1,187,3
194,65,2,188,3
195,65,3,189,3
196,66,2,190,17
197,66,3,191,17
198,66,1,192,17
199,67,3,193,15
200,67,2,194,15
201,67,1,195,15
202,68,1,196,6
203,68,3,197,6
204,68,2,198,6
205,69,3,199,10
206,69,2,200,10
207,69,1,201,10
208,70,1,202,7
209,70,3,203,7
210,70,2,204,7
211,71,2,205,8
212,71,1,206,8
213,71,3,207,8
214,72,2,208,17
215,72,1,209,17
216,72,3,210,17
217,73,1,211,14
218,73,3,211,14
219,73,2,211,14
220,74,2,212,6
221,74,3,213,6
222,74,1,214,6
223,75,3,215,14
224,75,1,216,14
225,75,2,217,14
226,76,3,218,6
227,76,1,219,6
228,76,2,220,6
229,77,1,221,6
230,77,3,222,6
231,77,2,223,6
232,78,1,224,13
233,78,2,225,13
234,78,3,226,13
235,79,1,227,6
236,79,2,228,6
237,79,3,229,6
238,80,2,230,12
239,80,1,231,12
240,80,3,232,12
241,81,2,233,14
242,81,1,234,14
243,81,3,235,14
244,82,3,236,12
245,82,2,237,12
246,82,1,238,12
247,83,3,239,14
248,83,2,240,14
249,83,1,241,14
250,84,3,242,15
251,84,1,243,15
252,84,2,244,15
253,85,3,245,9
254,85,1,246,9
255,85,2,247,9
256,86,2,248,12
257,86,1,249,12
258,86,3,250,12
259,87,2,251,12
260,87,3,252,12
261,87,1,253,12
262,88,1,254,10
263,88,3,255,10
264,88,2,256,10
265,89,3,257,14
266,89,2,258,14
267,89,1,259,14
268,90,2,260,3
269,90,3,261,3
270,90,1,262,3
271,91,1,263,15
272,91,3,264,15
273,91,2,265,15
274,92,3,266,16
275,92,1,267,16
276,92,2,268,16
277,93,1,269,10
278,93,2,270,10
279,93,3,271,10
280,94,1,272,3
281,94,2,273,3
282,94,3,274,3
283,95,1,275,15
284,95,2,276,15
285,95,3,277,15
286,96,2,278,6
287,96,1,279,6
288,96,3,280,6
289,97,2,281,3
290,97,3,282,3
291,97,1,283,3
292,98,2,284,2
293,98,3,285,2
294,98,1,286,2
295,99,2,287,12
296,99,1,288,12
297,99,3,289,12
298,100,2,290,17
299,100,1,291,17
300,100,3,292,17
301,101,1,293,16
302,101,2,294,16
303,101,3,295,16
304,102,3,296,5
305,102,2,297,5
306,102,1,298,5
307,1,4,299,1
308,1,5,300,1
309,1,6,301,1
310,2,6,302,2
311,2,4,303,2
312,2,5,303,2
313,3,5,304,3
314,3,4,305,3
315,3,6,306,3
316,4,6,307,4
317,4,4,308,4
318,4,5,309,4
319,5,4,310,3
320,5,6,310,3
321,5,5,311,3
322,103,6,312,7
323,103,5,313,7
324,103,4,314,7
325,6,5,315,5
326,6,4,316,5
327,6,6,317,5
328,7,5,318,6
329,7,6,319,6
330,7,4,320,6
331,8,4,321,6
332,8,6,322,6
333,8,5,323,6
334,9,5,324,3
335,9,6,325,3
336,9,4,326,3
337,10,5,327,8
338,10,4,328,8
339,10,6,329,8
340,11,4,330,6
341,11,6,331,6
342,11,5,332,6
343,12,5,333,4
344,12,6,334,4
345,12,4,335,4
346,104,4,336,18
347,13,5,337,10
348,13,4,338,10
349,13,6,339,10
350,14,4,340,9
351,14,6,341,9
